Filename,Pipeline,Seller Name,Seller Tax ID,Client Name,Client Tax ID,Invoice Number,Invoice Date,Net Worth,VAT,Gross Worth
batch1-0359.jpg,Azure Document Intelligence,"Cook, Bartlett and Giles",,"Smith, Herrera and Graves",,29534383,2017-05-30,$329.34,$32.93,$362.27
batch1-0359.jpg,Gemini 1.5 Flash,"Cook, Bartlett and Giles",974-75-0354,"Smith, Herrera and Graves",943-83-6136,29534383,05/30/2017,"329,34","32,93","362,27"
batch1-0371.jpg,Azure Document Intelligence,Lewis and Sons,,Hancock LLC,,39652805,2020-03-20,$299.99,$30.0,$329.99
batch1-0371.jpg,Gemini 1.5 Flash,Lewis and Sons,988-97-7797,Hancock LLC,982-72-2795,39652805,03/20/2020,"299,99","30,00","329,99"
batch1-0365.jpg,Azure Document Intelligence,Lee Inc,,"Olsen Ltd
USCGC Mann",,41887329,2020-11-26,$17349.93,$1734.99,$19084.92
batch1-0365.jpg,Gemini 1.5 Flash,Lee Inc,952-96-9876,Olsen Ltd,932-73-0621,41887329,11/26/2020,"17 349,93","1 734,99","19 084,92"
batch1-0364.jpg,Azure Document Intelligence,Thomas-Andrade,,"Macdonald, Bentley and Nguyen",,61113263,2014-02-04,$23935.84,$2393.58,$26329.42
batch1-0364.jpg,Gemini 1.5 Flash,Thomas-Andrade,972-90-5571,"Macdonald, Bentley and Nguyen",988-84-2670,61113263,02/04/2014,"23 935,84","2 393,58","26 329,42"
batch1-0370.jpg,Azure Document Intelligence,"Thornton, Franklin and Hamilton",,"Farmer, Pennington and Osborn",,11637316,2015-03-21,$3763.69,$376.37,$4140.06
batch1-0370.jpg,Gemini 1.5 Flash,"Thornton, Franklin and Hamilton",998-77-7262,"Farmer, Pennington and Osborn",997-74-8995,11637316,03/21/2015,"3 763,69","376,37","4 140,06"
batch1-0358.jpg,Azure Document Intelligence,"Gardner, Tucker and Martinez",,"Robbins Group
USS Salas
FPO",,61660848,2019-05-30,$24.12,$2.41,$26.53
batch1-0358.jpg,Gemini 1.5 Flash,"Gardner, Tucker and Martinez",935-91-0274,Robbins Group,968-87-5481,61660848,05/30/2019,"24,12","2,41","26,53"
batch1-0366.jpg,Azure Document Intelligence,Williams Ltd,,Gross PLC,,74583312,2015-05-05,$634.36,$63.44,$697.8
batch1-0366.jpg,Gemini 1.5 Flash,Williams Ltd,964-85-1307,Gross PLC,963-76-2257,74583312,05/05/2015,"634,36","63,44","697,80"
batch1-0372.jpg,Azure Document Intelligence,Hart-Wright,,Foster-Parks,,15172184,2017-08-24,$4819.9,$481.99,$5301.89
batch1-0372.jpg,Gemini 1.5 Flash,Hart-Wright,953-74-2648,Foster-Parks,943-86-1330,15172184,08/24/2017,"4 819,90","481,99","5 301,89"
batch1-0373.jpg,Azure Document Intelligence,Jones-Silva,,Stafford and Sons,,99454334,2017-07-08,$96.0,$9.6,$105.6
batch1-0373.jpg,Gemini 1.5 Flash,Jones-Silva,902-82-9449,Stafford and Sons,910-94-4040,99454334,07/08/2017,"96,00","9,60","105,60"
batch1-0367.jpg,Azure Document Intelligence,Day and Sons,,"Phillips, Burton and Mcdaniel",,23995139,2015-05-30,$84944.82,$8494.48,$93439.3
batch1-0367.jpg,Gemini 1.5 Flash,Day and Sons,908-94-9799,"Phillips, Burton and Mcdaniel",932-85-2181,23995139,05/30/2015,"84 944,82","8 494,48","93 439,30"
batch1-0363.jpg,Azure Document Intelligence,Nichols-Powell,,"Ballard-Henry
Brown",,16499996,2019-05-05,$19.5,$1.95,$21.45
batch1-0363.jpg,Gemini 1.5 Flash,Nichols-Powell,956-84-2083,Ballard-Henry,923-84-5244,16499996,05/05/2019,"19,50","1,95","21,45"
batch1-0377.jpg,Azure Document Intelligence,Wilkins Ltd,,Ross Inc,,35259356,2018-01-20,$629.8,$62.98,$692.78
batch1-0377.jpg,Gemini 1.5 Flash,Wilkins Ltd,928-96-4400,Ross Inc,939-96-7563,35259356,01/20/2018,"629,80","62,98","692,78"
batch1-0376.jpg,Azure Document Intelligence,Ross Group,,Leblanc and Sons,,60518602,2016-08-30,$2334.95,$233.5,$2568.45
batch1-0376.jpg,Gemini 1.5 Flash,Ross Group,929-73-9404,Leblanc and Sons,963-87-9848,60518602,08/30/2016,"2 334,95","233,50","2 568,45"
batch1-0362.jpg,Azure Document Intelligence,Smith-Torres,,"Medina, Moss and Martin",,76628307,2019-05-05,$3084.91,$308.49,$3393.4
batch1-0362.jpg,Gemini 1.5 Flash,Smith-Torres,927-81-6187,"Medina, Moss and Martin",915-85-0288,76628307,05/05/2019,"3 084,91","308,49","3 393,40"
batch1-0374.jpg,Azure Document Intelligence,Kirby Group,,Martin-Allison,,87873157,2017-05-09,$6.0,$0.6,$6.6
batch1-0374.jpg,Gemini 1.5 Flash,Kirby Group,968-79-4900,Martin-Allison,943-81-3637,87873157,05/09/2017,"6,00","0,60","6,60"
batch1-0360.jpg,Azure Document Intelligence,Mclean Inc,,Richards and Sons,,58126171,2015-08-14,$30884.3,$3088.43,$33972.73
batch1-0360.jpg,Gemini 1.5 Flash,Mclean Inc,913-81-7541,Richards and Sons,952-95-0332,58126171,08/14/2015,"30 884,30","3 088,43","33 972,73"
batch1-0348.jpg,Azure Document Intelligence,Miller Inc,,"Conley-Irwin
USCGC Jordan",,50956755,2019-09-06,$29049.84,$2904.98,$31954.82
batch1-0348.jpg,Gemini 1.5 Flash,Miller Inc,938-92-9047,Conley-Irwin,997-98-1436,50956755,09/06/2019,"29 049,84","2 904,98","31 954,82"
batch1-0349.jpg,Azure Document Intelligence,"Hernandez, Barber and Jones",,Hall-Skinner,,39571754,2013-07-03,$6950.2,$695.02,$7645.22
batch1-0349.jpg,Gemini 1.5 Flash,"Hernandez, Barber and Jones",934-99-4537,Hall-Skinner,944-87-7634,39571754,07/03/2013,"6 950,20","695,02","7 645,22"
batch1-0361.jpg,Azure Document Intelligence,Johnson-Young,,"Garcia, Meyer and Cook",,86575728,2014-11-24,$906.7,$90.67,$997.37
batch1-0361.jpg,Gemini 1.5 Flash,Johnson-Young,937-77-5283,"Garcia, Meyer and Cook",907-73-8031,86575728,11/24/2014,"906,70","90,67","997,37"
batch1-0375.jpg,Azure Document Intelligence,"Moore, Thomas and Crosby",,Aguirre Ltd,,23897213,2019-07-14,$252.63,$25.26,$277.89
batch1-0375.jpg,Gemini 1.5 Flash,"Moore, Thomas and Crosby",943-88-9123,Aguirre Ltd,924-73-4934,23897213,07/14/2019,"252,63","25,26","277,89"
batch1-0339.jpg,Azure Document Intelligence,Rodriguez-Barnett,,"Le, Lawson and Rios
USS King",,48531206,2019-08-03,$5587.91,$558.79,$6146.7
batch1-0339.jpg,Gemini 1.5 Flash,Rodriguez-Barnett,986-88-3758,"Le, Lawson and Rios",967-80-5679,48531206,08/03/2019,"5 587,91","558,79","6 146,70"
batch1-0338.jpg,Azure Document Intelligence,Bailey PLC,,Turner Inc,,11926242,2012-03-01,$3340.47,$334.05,$3674.52
batch1-0338.jpg,Gemini 1.5 Flash,Bailey PLC,918-95-6591,Turner Inc,998-92-7755,11926242,03/01/2012,"3 340,47","334,05","3 674,52"
batch1-0333.jpg,Azure Document Intelligence,"Solomon, Ford and Ellis",,Hamilton-Jackson,,74819543,2020-10-07,$125.0,$12.5,$137.5
batch1-0333.jpg,Gemini 1.5 Flash,"Solomon, Ford and Ellis",954-73-2478,Hamilton-Jackson,988-96-5706,74819543,10/07/2020,"125,00","12,50","137,50"
batch1-0332.jpg,Azure Document Intelligence,Chavez Ltd,,Roberts Ltd,,13507183,2015-09-09,$1026.72,$102.67,$1129.39
batch1-0332.jpg,Gemini 1.5 Flash,Chavez Ltd,904-77-6503,Roberts Ltd,956-94-0439,13507183,09/09/2015,"1 026,72","102,67","1 129,39"
batch1-0331.jpg,Azure Document Intelligence,Ochoa-Scott,,Green LLC,,94138597,2018-02-05,$1612.5,$161.25,$1773.75
batch1-0331.jpg,Gemini 1.5 Flash,Ochoa-Scott,921-82-1053,Green LLC,965-99-1263,94138597,02/05/2018,"1 612,50","161,25","1 773,75"
batch1-0335.jpg,Azure Document Intelligence,Johnson-Brooks,,"Proctor, Morgan and Williams",,51467723,2019-04-21,$96817.2,$9681.72,$106498.92
batch1-0335.jpg,Gemini 1.5 Flash,Johnson-Brooks,964-92-2746,"Proctor, Morgan and Williams",939-82-6262,51467723,04/21/2019,"96 817,20","9 681,72","106 498,92"
batch1-0334.jpg,Azure Document Intelligence,Duncan Ltd,,Edwards-Archer,,65498230,2021-02-16,$45.5,$4.55,$50.05
batch1-0334.jpg,Gemini 1.5 Flash,Duncan Ltd,964-84-8594,Edwards-Archer,909-91-4017,65498230,02/16/2021,"45,50","4,55","50,05"
batch1-0336.jpg,Azure Document Intelligence,Decker PLC,957-87-4031,Boyle Ltd,,97511742,2016-04-07,$4314.93,$431.49,$4746.42
batch1-0336.jpg,Gemini 1.5 Flash,Decker PLC,957-87-4031,Boyle Ltd,993-86-3706,97511742,04/07/2016,"4 314,93","431,49","4 746,42"
batch1-0337.jpg,Azure Document Intelligence,"Snyder, Bryan and Booth",,Ashley-Perry,,94098997,2020-10-04,$13846.77,$1384.68,$15231.45
batch1-0337.jpg,Gemini 1.5 Flash,"Snyder, Bryan and Booth",983-70-0913,Ashley-Perry,981-88-6259,94098997,10/04/2020,"13 846,77","1 384,68","15 231,45"
batch1-0378.jpg,Azure Document Intelligence,Duran Group,,Mayer-Bates,,74263194,2020-03-28,$119.93,$11.99,$131.92
batch1-0378.jpg,Gemini 1.5 Flash,Duran Group,917-88-4853,Mayer-Bates,954-81-3871,74263194,03/28/2020,"119,93","11,99","131,92"
batch1-0350.jpg,Azure Document Intelligence,Daniel-Benson,,"Mcdonald, Jordan and Malone",,39077025,2011-12-15,$3546.94,$354.69,$3901.63
batch1-0350.jpg,Gemini 1.5 Flash,Daniel-Benson,991-85-2472,"Mcdonald, Jordan and Malone",925-92-0610,39077025,12/15/2011,"3 546,94","354,69","3 901,63"
batch1-0344.jpg,Azure Document Intelligence,Saunders-Lee,,Molina Inc,,85473134,2017-04-24,$808.87,$80.89,$889.76
batch1-0344.jpg,Gemini 1.5 Flash,Saunders-Lee,991-83-4896,Molina Inc,936-85-0485,85473134,04/24/2017,"808,87","80,89","889,76"
batch1-0345.jpg,Azure Document Intelligence,Jones and Sons,,Hamilton-Simmons,,92919413,2020-10-04,$5992.66,$599.27,$6591.93
batch1-0345.jpg,Gemini 1.5 Flash,Jones and Sons,952-76-3987,Hamilton-Simmons,992-84-7640,92919413,10/04/2020,"5 992,66","599,27","6 591,93"
batch1-0351.jpg,Azure Document Intelligence,Poole-Boyle,,"Ray, Hurst and Cruz",,77015917,2017-12-21,$99.95,$9.99,$109.94
batch1-0351.jpg,Gemini 1.5 Flash,Poole-Boyle,938-78-7124,"Ray, Hurst and Cruz",924-90-5219,77015917,12/21/2017,"99,95","9,99","109,94"
batch1-0379.jpg,Azure Document Intelligence,"Howell, Underwood and Davis",,Gardner LLC,,59051048,2015-12-12,$267.52,$26.75,$294.27
batch1-0379.jpg,Gemini 1.5 Flash,"Howell, Underwood and Davis",989-83-0730,Gardner LLC,948-94-1459,59051048,12/12/2015,267.52,26.75,294.27
batch1-0347.jpg,Azure Document Intelligence,"Henderson, Brown and Carson",,"Brown, Dodson and Weaver",,89042780,2015-10-16,$1908.56,$190.86,$2099.42
batch1-0347.jpg,Gemini 1.5 Flash,"Henderson, Brown and Carson",975-87-2875,"Brown, Dodson and Weaver",981-79-3397,89042780,10/16/2015,"1 908,56","190,86","2 099,42"
batch1-0353.jpg,Azure Document Intelligence,Callahan and Sons,,King-Harris,,10819011,2018-02-09,$510.64,$51.06,$561.7
batch1-0353.jpg,Gemini 1.5 Flash,Callahan and Sons,979-84-7639,King-Harris,988-88-5388,10819011,02/09/2018,"510,64","51,06","561,70"
